TIC;Class
0014326626;Noisy
0143451757;Noisy
0143821245;Noisy
0143899318;Noisy
0143987080;Noisy
0144400022;Var
0144410790;Noisy
0144510259;Noisy
0145676694;Noisy
0145752796;Noisy
0145911387;Noisy
0145962185;Noisy
0014635688;Noisy
0146837940;Noisy
0014718770;Noisy
0014722567;Noisy
0147420104;Noisy
0147574370;Var
0148012753;Noisy
0148450970;Noisy
0148612683;Noisy
0148675649;Var
0148934074;Noisy
0148936840;Var
0149396870;Noisy
0149397312;Var
0149470658;Var
0149689521;Noisy
0149759025;Var
0149807769;Noisy
0150089903;Var
0150188736;Var
0150269579;Noisy
0150322322;Noisy
0150905990;Noisy
0015097476;Noisy
0151300352;Var
0151729566;Noisy
0015182730;Noisy
0152181301;Noisy
0152851019;Noisy
0152875048;Var
0153713422;Var
0153723228;Var
0154107531;Noisy
0154561790;Noisy
0154719289;Var
0155208355;Noisy
0155296985;Noisy
0155776875;Var
0155885021;Var
0015611379;Var
0156161649;Var
0156597607;Noisy
0156624866;Noisy
0156918868;Var
0157201374;Noisy
0157594396;Noisy
0157814896;Noisy
0157838641;Var
0157912382;Noisy
0157955474;Noisy
0158017206;Noisy
0158084063;Var
0158092100;Noisy
0158098381;Noisy
0158670451;Var
0158791868;Noisy
0158983365;Noisy
0159235567;Noisy
0159459862;Noisy
0159481966;Noisy
0159504587;Noisy
0159505342;Var
0160042321;Noisy
0160117889;Noisy
0160469668;Noisy
0160539398;Var
0161026231;Noisy
0161439851;Var
0016151344;Var
0161640200;Noisy
0161745243;Noisy
0016247017;Var
0016247270;Noisy
0162802238;Noisy
0163086486;Var
0163748757;Noisy
0164342032;Var
0164544772;Var
0165202117;Noisy
0165231308;Noisy
0165300639;Var
0165332804;Noisy
0165414546;Noisy
0165450654;Noisy
0165769727;Noisy
0165916579;Var
0165945176;Noisy
0165980070;Var
0165987639;Noisy
0016651502;Noisy
0166564049;Noisy
0166652209;Noisy
0166890993;Noisy
0167010837;Noisy
0167652884;Noisy
0167670065;Var
0168655325;Noisy
0168656016;Noisy
0168747453;Noisy
0169747618;Noisy
0016997732;Noisy
0170105622;Noisy
0170105959;Var
0170256396;Noisy
0170313833;Noisy
0017049619;Noisy
0170785407;Noisy
0170804009;Noisy
0171371245;Noisy
0171648455;Noisy
0017194593;Var
0172045609;Noisy
0017204711;Noisy
0172269365;Noisy
0172355389;Noisy
0172518675;Var
0172532214;Noisy
0172532520;Noisy
0173095595;Noisy
0173165359;Var
0173433529;Noisy
0173854863;Noisy
0174821904;Noisy
0174899748;Var
0174967937;Noisy
0175406480;Noisy
0175456846;Var
0176001610;Noisy
0176019096;Noisy
0176188045;Noisy
0176495634;Noisy
0017655673;Noisy
0178106944;Var
0178175233;Noisy
0178278422;Noisy
0178278439;Noisy
0178349461;Var
0178835398;Var
0179664303;Noisy
0017970570;Var
0179905621;Var
0017994042;Var
0180444967;Noisy
0180628643;Noisy
0180672231;Noisy
0180695497;Noisy
0181254250;Noisy
0018143643;Noisy
0181547479;Noisy
0181817966;Noisy
0181819526;Noisy
0183529630;Noisy
0183561304;Noisy
0018428158;Noisy
0184428985;Noisy
0184739388;Var
0185879400;Noisy
0186228454;Noisy
0186236329;Var
0188035578;Var
0188081322;Noisy
0188216872;Noisy
0188694544;Noisy
0188825478;Noisy
0189017508;Var
0189057474;Var
0189072867;Noisy
0189164706;Noisy
0189293251;Noisy
0189407134;Var
0189428952;Noisy
0189585262;Noisy
0189619789;Noisy
0189628392;Noisy
0189640779;Noisy
0189799926;Noisy
0019011834;Noisy
0190250961;Noisy
0190297163;Var
0019057974;Var
0019112056;Var
0191446688;Var
0191558700;Noisy
0191970129;Noisy
0192586810;Noisy
0192930921;Noisy
0192937264;Noisy
0192941085;Var
0192948964;Noisy
0193604726;Noisy
1936551779;Var
0193974787;Noisy
0194128258;Noisy
0001941904;Noisy
0194859376;Noisy
0195087289;Noisy
0195129641;Noisy
0195857545;Noisy
0196103340;Noisy
0196851890;Noisy
0196898408;Noisy
0197191931;Noisy
0197602069;Noisy
0019764947;Noisy
0197710589;Noisy
0197987557;Var
0198080032;Noisy
0198381445;Var
0199517573;Noisy
0199525756;Noisy
0199634258;Noisy
0199712463;Noisy
0199780506;Var
0200665737;Noisy
0200802812;Noisy
0201164198;Noisy
0201366632;Noisy
0201426753;Var
0201688405;Var
0002017181;Noisy
0020377835;Noisy
0204291254;Noisy
0204377335;Noisy
0204614039;Var
0020496343;Var
0205407671;Noisy
0205785645;Noisy
0020637492;Noisy
0206384206;Noisy
0206530791;Noisy
0206538174;Noisy
0207073870;Noisy
0002092269;Noisy
0209316174;Noisy
0209828398;Noisy
0021016045;Var
0211412020;Noisy
0211442596;Var
0212413261;Noisy
0213459719;Noisy
0213471387;Noisy
0021351011;Var
0021445247;Var
0214516789;Noisy
0214688545;Var
0021650187;Noisy
0216604509;Noisy
0216611426;Var
0217474889;Noisy
0021789785;Noisy
0218700582;Noisy
0218963269;Var
0219040975;Var
0219147916;Noisy
0219196871;Var
0219282251;Noisy
0219328566;Noisy
0022001079;Noisy
0022030821;Noisy
0022038430;Noisy
0220410075;Noisy
0220436523;Noisy
0220476613;Var
0002218736;Noisy
0022221458;Noisy
0222495959;Noisy
0223456058;Noisy
0224276435;Var
0224329387;Var
0225453355;Var
0228382524;Var
0022872366;Noisy
0228932306;Noisy
0229068123;Noisy
0229404121;Var
0229582437;Noisy
0229589015;Noisy
0229738650;Var
0230055873;Noisy
0230060668;Var
0231064564;Noisy
0023168637;Noisy
0231821546;Noisy
0232024628;Noisy
0232048034;Noisy
0232140354;Noisy
0232396068;Noisy
0233048546;Noisy
0233051394;Var
0233529295;Noisy
0233637410;Noisy
0233965332;Noisy
0234315293;Noisy
0234838638;Noisy
0236319132;Var
0236320474;Var
0236546180;Noisy
0236903940;Var
0237091400;Var
0237245175;Noisy
0237306300;Noisy
0238027971;Var
0023829470;Noisy
0238348690;Noisy
0238585749;Noisy
0239060718;Noisy
0239198426;Noisy
0239199631;Noisy
0239225669;Var
0239630572;Var
0240682712;Var
0240741274;Noisy
0240954478;Noisy
0241255690;Noisy
0241353348;Noisy
0241505656;Noisy
0241832958;Var
0024186139;Var
0242346031;Noisy
0242351760;Noisy
0024249228;Noisy
0024255693;Var
0243119886;Noisy
0243317456;Noisy
0243479687;Var
0024373474;Noisy
0246613828;Noisy
0246857304;Noisy
0247073568;Noisy
0247170724;Noisy
0247409238;Var
0247855453;Var
0248066876;Noisy
0248121645;Noisy
0248172587;Noisy
0248174259;Noisy
0248194392;Noisy
0248309386;Noisy
0248434949;Noisy
0248513210;Noisy
0248813918;Noisy
0248822329;Noisy
0024922720;Noisy
0025002878;Noisy
0250033088;Noisy
0250834020;Noisy
0251024610;Noisy
0251881123;Noisy
0252342402;Noisy
0252816252;Noisy
0252994598;Var
0252995306;Var
0253054147;Noisy
0253923299;Noisy
0254301851;Var
0254303705;Noisy
0254877683;Noisy
0255046149;Var
0256030874;Noisy
0257220130;Noisy
0257265127;Noisy
0025727088;Noisy
0257502782;Noisy
0257602548;Var
0257729877;Noisy
0257841489;Noisy
0257911085;Var
0258016311;Noisy
0258067956;Noisy
0258067961;Noisy
0258268324;Noisy
0258280083;Noisy
0258674285;Noisy
0258785078;Noisy
0258822427;Var
0258878447;Var
0259168516;Noisy
0259377017;Noisy
0025950215;Noisy
0025982091;Noisy
0260655797;Noisy
0026082796;Noisy
0261091639;Var
0026116739;Noisy
0262465715;Noisy
0262587294;Noisy
0026260897;Noisy
0262661820;Noisy
0262689575;Var
0262713499;Noisy
0262746746;Var
0262972689;Noisy
0026306369;Noisy
0263105734;Noisy
0263342184;Var
0264040809;Noisy
0026417386;Noisy
0264506118;Noisy
0264985536;Noisy
0265169571;Noisy
0265402021;Noisy
0265915602;Noisy
0266338164;Var
0266350434;Noisy
0266545555;Noisy
0266680951;Var
0266809077;Var
0268171869;Var
0268545302;Noisy
0268588190;Var
0268804174;Var
0268958223;Noisy
0026902496;Noisy
0269076634;Noisy
0269131355;Noisy
0269155329;Noisy
0026924683;Noisy
0269464388;Noisy
0269470065;Noisy
0026972168;Noisy
0270101915;Var
0270218775;Noisy
0270299418;Noisy
0270303015;Noisy
0270470901;Noisy
0270561036;Var
0270565265;Noisy
0270576040;Var
0270708113;Noisy
0027137427;Noisy
0271883146;Noisy
0272070121;Noisy
0027304207;Noisy
0273226810;Var
0273425850;Noisy
0273589987;Var
0273975258;Noisy
0274461670;Noisy
0274725694;Var
0274830632;Var
0275133493;Var
0276027410;Noisy
0276047838;Noisy
0276235469;Noisy
0276907592;Noisy
0027691167;Noisy
0277712705;Var
0277776848;Noisy
0277838729;Noisy
0277888583;Noisy
0278188398;Noisy
0278234708;Noisy
0027837873;Noisy
0278615421;Var
0278703988;Var
0278773740;Noisy
0278802728;Noisy
0278829597;Var
0278892590;Noisy
0278897257;Var
0278901225;Noisy
0278919163;Noisy
0279327066;Var
0027955268;Var
0279696304;Noisy
0027997243;Var
0280313260;Var
0028053245;Var
0028057524;Noisy
0028066552;Noisy
0281706808;Noisy
0281730615;Var
0281730616;Var
0281730798;Var
0028217499;Var
0282750547;Noisy
0283281695;Noisy
0283414277;Var
0283647569;Noisy
0283727932;Noisy
0283753430;Var
0283784435;Var
0283856164;Noisy
0284184793;Noisy
0284190375;Var
0284271562;Noisy
0284567512;Var
0285050912;Noisy
0285972083;Var
0286789264;Noisy
0286942673;Noisy
0286943464;Noisy
0287025898;Noisy
0287415473;Noisy
0287840802;Noisy
0288422718;Var
0288530076;Noisy
0288874350;Noisy
0028940105;Var
0289710182;Noisy
0289719891;Var
0289833732;Noisy
0289909994;Noisy
0290001300;Var
0290023187;Var
0290023608;Noisy
0029015116;Var
0290183777;Var
0290185101;Noisy
0290360504;Noisy
0290609291;Noisy
0291016455;Noisy
0291065022;Noisy
0292181908;Noisy
0293469167;Var
0293478125;Noisy
0029670036;Noisy
0296783865;Noisy
0298071897;Var
0298514156;Noisy
0298649457;Noisy
0029959288;Noisy
0299884977;Noisy
0300117122;Noisy
0030101427;Noisy
0301033489;Var
0301102220;Var
0301133345;Noisy
0301190933;Var
0301289516;Var
0301501433;Noisy
0301828564;Var
0302396416;Var
0302606163;Noisy
0303129024;Noisy
0303206437;Var
0303240404;Noisy
0030340354;Var
0303586421;Noisy
0303679959;Noisy
0030417563;Noisy
0030438054;Noisy
0304392811;Noisy
0305567403;Var
0305644718;Var
0306114021;Var
0306331621;Var
0306400873;Noisy
0307275906;Var
0307338124;Var
0030755407;Noisy
0307706586;Var
0307762753;Noisy
0308020541;Noisy
0308026979;Noisy
0308052270;Noisy
0308773845;Noisy
0309026977;Var
0309091025;Noisy
0309416650;Noisy
0310263791;Noisy
0310363348;Var
0310395304;Var
0310396640;Noisy
0310522457;Var
0310969334;Var
0311794365;Noisy
0312218850;Noisy
0312347147;Noisy
0312354502;Var
0312789166;Noisy
0312812096;Var
0313147302;Noisy
0313196161;Var
0313403579;Var
0313625338;Noisy
0313938930;Noisy
0314843040;Var
0314909480;Noisy
0314989149;Noisy
0316211453;Noisy
0316419348;Noisy
0316880751;Noisy
0316993844;Noisy
0317180704;Noisy
0317565112;Var
0317914566;Noisy
0317959445;Noisy
0318434465;Noisy
0318481695;Noisy
0319189540;Noisy
0319615094;Var
0320207059;Noisy
0320586991;Var
0321231065;Noisy
0321415684;Noisy
0032197576;Noisy
0003221826;Noisy
0322777782;Var
0323167569;Noisy
0323598320;Noisy
0323688555;Var
0324340025;Var
0032478518;Noisy
0325193308;Var
0325253295;Noisy
0325274708;Noisy
0325506707;Noisy
0325624908;Noisy
0326092753;Noisy
0326451066;Var
0326476717;Noisy
0032704517;Noisy
0328069209;Noisy
0328099902;Noisy
0328178058;Noisy
0329118618;Noisy
0330641257;Noisy
0330671307;Noisy
0331196020;Noisy
0033205335;Noisy
0332517282;Var
0332829722;Noisy
0332855617;Noisy
0334140662;Noisy
0033423686;Noisy
0033424022;Noisy
0334247565;Noisy
0334251335;Noisy
0033443434;Noisy
0334937178;Noisy
0334968585;Noisy
0335436082;Noisy
0335460860;Noisy
0336209523;Noisy
0336677773;Var
0336725557;Noisy
0336734800;Var
0336889960;Var
0337111106;Var
0033734143;Var
0337570625;Noisy
0338262765;Noisy
0033937232;Var
0339877502;Var
0341162242;Noisy
0341417608;Var
0341607068;Noisy
0341828299;Noisy
0342426087;Noisy
0342729629;Noisy
0343335500;Var
0344161751;Noisy
0344278939;Noisy
0344860092;Noisy
0345031439;Noisy
0345036823;Var
0345293746;Noisy
0034532093;Noisy
0345445002;Noisy
0034641680;Var
0347626733;Var
0034772115;Var
0348385129;Var
0348722224;Noisy
0034926238;Noisy
0349987823;Noisy
0350024175;Noisy
0350074599;Noisy
0350101326;Noisy
0350737324;Noisy
0350745242;Noisy
0351740015;Noisy
0352006508;Noisy
0352437701;Noisy
0035400809;Noisy
0354207992;Noisy
0354307490;Noisy
0354352349;Noisy
0354409965;Noisy
0354432728;Var
0354518617;Var
0354607693;Noisy
0355624792;Noisy
0355946390;Var
0356062524;Noisy
0356196025;Var
0356318637;Var
0356325892;Var
0356412695;Noisy
0357045197;Var
0357307559;Noisy
0357370384;Var
0357370715;Noisy
0357466066;Noisy
0357626805;Noisy
0358009322;Noisy
0358237020;Noisy
0358766254;Noisy
0359148768;Var
0360821683;Noisy
0361409482;Noisy
0362807287;Noisy
0363095016;Noisy
0363479460;Noisy
0364189407;Noisy
0364791736;Noisy
0364981864;Noisy
0365064283;Noisy
0365228738;Noisy
0365670764;Var
0365837023;Noisy
0036595722;Var
0365967778;Noisy
0366659242;Var
0036727985;Noisy
0367647436;Noisy
0367674851;Noisy
0036835184;Var
0036838798;Var
0368899186;Noisy
0368923404;Var
0369483151;Noisy
0369489810;*Var
0370248689;Noisy
0371330522;Noisy
0371593125;Noisy
0371608626;Noisy
0373219607;Noisy
0373985178;Var
0374537316;Noisy
0374600453;Noisy
0374699567;Noisy
0374955271;Noisy
0375058105;Var
0375454668;Noisy
0375881348;Noisy
0375997281;Noisy
0376663813;Noisy
0376923962;Noisy
0377040202;Noisy
0377128749;Noisy
0037749396;Noisy
0379749964;Noisy
0380532990;Noisy
0380542811;Var
0380544811;Noisy
0038137035;Noisy
0038141631;Var
0038155955;Noisy
0038156255;Noisy
0381897917;Noisy
0382157804;Noisy
0382532897;Var
0038254134;Noisy
0382575855;Var
0384491142;Noisy
0384629325;Var
0384673951;Noisy
0385114222;Noisy
0385368233;Noisy
0385811983;Noisy
0038597904;Var
0386480266;Noisy
0386569405;Noisy
0386838171;Var
0387374380;Noisy
0387938931;Var
0388520917;Noisy
0388799527;Noisy
0388899741;Noisy
0389040132;Noisy
0003891562;Noisy
0389362492;Noisy
0389426731;Var
0390424380;Noisy
0391377753;Noisy
0391583930;Noisy
0391807344;Noisy
0392797051;Noisy
0392917676;Var
0393001368;Noisy
0393001369;Noisy
0393173184;Noisy
0393494810;Noisy
0393584005;Noisy
0393650499;Noisy
0393895181;Noisy
0395401483;Noisy
0395665737;Noisy
0395812319;Noisy
0396832673;Var
0396915485;Noisy
0396951485;Noisy
0039698449;Noisy
0397012866;Noisy
0397354290;Var
0397538321;Var
0398269278;Noisy
0398551909;Var
0039903437;Noisy
0399057352;Var
0399728393;Noisy
0399891054;Noisy
0040042404;Noisy
0400513366;Var
0040103367;Noisy
0401624357;Noisy
0401821253;Var
0402106579;Noisy
0402106696;Var
0402161777;Noisy
0402341182;Var
0402664886;Noisy
0402819057;Var
0403026657;Noisy
0403027164;Noisy
0403668436;Noisy
0403731861;Noisy
0403770380;Noisy
0404715778;Noisy
0405230222;Var
0405283107;Var
0405334990;Var
0405455441;Noisy
0405556305;Noisy
0405812696;Noisy
0406141411;Var
0406234265;Noisy
0406343361;Noisy
0406450828;Noisy
0406689794;Noisy
0406732126;Var
0406781410;Noisy
0406782185;Noisy
0406865684;Noisy
0406865989;Var
0407341335;Noisy
0407925682;Noisy
0407940302;Noisy
0408386470;Noisy
0408478747;Var
0408479509;Var
0408645284;Var
0408698261;Noisy
0408772407;Noisy
0408822736;Noisy
0409697219;Noisy
0410126425;Var
0041031598;Var
0411234562;Noisy
0411249299;Noisy
0041178753;Noisy
0414964447;Var
0415709877;Noisy
0415709901;Noisy
0415839928;Noisy
0041637243;Noisy
0416612744;Noisy
0416670281;Noisy
0416860200;Noisy
0417986483;Noisy
0418377388;Noisy
0041840710;Var
0422422228;Noisy
0422485088;Noisy
0422507020;Noisy
0422655045;Noisy
0423236614;Var
0423299029;Var
0423319208;Noisy
0423364320;Noisy
0423386118;Noisy
0423433094;Noisy
0423478571;Noisy
0423491048;Noisy
0423535724;Noisy
0424256352;Noisy
0004248278;Noisy
0425281805;Noisy
0426759287;Var
0426835362;Noisy
0426959594;Noisy
0426981267;Noisy
0427162854;Var
0428659446;Noisy
0428666898;Var
0428832333;Noisy
0430111458;Noisy
0431253996;Var
0431259116;Var
0043136168;Noisy
0043274838;Var
0433001441;Noisy
0043303457;Noisy
0434136638;Var
0434136640;Var
0434221364;Noisy
0434277975;Noisy
0043445651;Var
0043451426;Var
0435232317;Noisy
0435235994;Noisy
0435838328;Noisy
0436128403;Noisy
0436265506;Var
0436569818;Var
0436616563;Noisy
0436743667;Noisy
0436924294;Var
0437059375;Noisy
0437236295;Noisy
0437253099;Noisy
0437710759;Noisy
0438007268;Var
0004382254;Noisy
0438407490;Noisy
0438496720;Noisy
0439257789;Var
0439403362;Noisy
0439410915;Noisy
0439418308;Noisy
0440065990;Noisy
0441051974;Noisy
0441074926;Var
0441201321;Noisy
0441290377;Noisy
0441402752;Var
0441466487;Noisy
0441516696;Noisy
0441606549;Var
0442929628;Noisy
0044295379;Var
0443892394;Noisy
0444000733;Var
0444000734;Var
0444041321;Noisy
0444208094;Noisy
0444897453;Noisy
0445018193;Noisy
0445285461;Noisy
0445423872;Var
0445912934;Var
0446179062;Noisy
0447061717;Var
0448600712;Noisy
0448644190;Noisy
0044892011;Noisy
0004498312;Noisy
0450336073;Noisy
0045043823;Var
0004510663;Var
0045193132;Var
0452454448;Noisy
0452757204;Noisy
0452782929;Noisy
0452811808;Noisy
0452866716;Noisy
0045310059;Noisy
0453465810;Var
0453472323;Var
0453745186;Noisy
0454112557;Var
0454221679;Noisy
0045464138;Noisy
0455032060;Var
0004552646;Noisy
0455277453;Var
0455279224;Noisy
0456258179;Noisy
0456730010;Noisy
0457131068;Noisy
0457230759;Noisy
0457927575;Var
0459751104;Noisy
0459800214;Var
0459972249;Noisy
0460418429;Noisy
0004609881;Var
0461199859;Noisy
0461243088;Noisy
0461408984;Noisy
0461708344;Var
0462177519;Noisy
0462584028;Noisy
0462637035;Var
0462642425;Noisy
0464322127;Noisy
0464452462;Var
0464515919;Noisy
0046771303;Noisy
0468360270;Noisy
0468589268;Var
0468898917;Var
0468984016;Noisy
0469071391;Noisy
0470600099;Noisy
0470768963;Noisy
0471012292;Var
0471012333;Noisy
0471012739;Var
0471015652;Noisy
0047350268;Var
0047506328;Noisy
0047508451;Noisy
0047954870;Noisy
0048029515;Noisy
0048708158;Var
0049544587;Noisy
0049604767;Noisy
0050085560;Noisy
0050185152;Var
0050284634;Noisy
0502889700;Var
0050719539;Var
0050979177;Var
0051104452;Noisy
0051325541;Noisy
0052373734;Noisy
0053211475;Noisy
0053411081;Var
0053603145;Var
0053693366;Noisy
0053782312;Noisy
0054957482;Noisy
0054959262;Noisy
0054978541;Noisy
0055223193;Noisy
0055382938;Noisy
0055464690;Noisy
0055497266;Var
0055746237;Noisy
0005579232;Var
0055891576;Var
0055903488;Noisy
0005623719;Noisy
0056558198;Noisy
0056583281;Noisy
0056665487;Noisy
0056665956;Noisy
0056991712;Noisy
0057043368;Noisy
0005725198;Noisy
0057300249;Noisy
0057393179;Var
0057645292;Noisy
0057654763;Noisy
0005776217;Noisy
0005776219;Noisy
0058085557;Noisy
0058956711;Noisy
0058997854;Noisy
0059582315;Noisy
0059605392;Noisy
0005979133;Var
0060477358;Noisy
0060552999;Var
0000607409;Var
0060983539;Noisy
0060987924;Noisy
0061039619;Noisy
0061066072;Noisy
0061098813;Noisy
0061219111;Var
0630071675;Noisy
0063354191;Var
0063844336;Noisy
0063905387;Noisy
0063939465;Noisy
0064540162;Var
0064939155;Noisy
0064972192;Var
0065155744;Var
0065406275;Noisy
0065602811;Noisy
0065886506;Noisy
0066189398;Var
0066393326;Noisy
0066653445;Noisy
0006684799;Noisy
0066992669;Var
0067185469;Noisy
0067513968;Noisy
0067542718;Noisy
0067808251;Noisy
0067936803;Noisy
0068198255;Noisy
0068246758;Noisy
0068978927;Var
0069692170;Var
0069796908;Var
0069814849;Var
0069848300;Noisy
0069985057;Noisy
0070146372;Var
0070514364;Noisy
0070679340;Noisy
0070964263;Noisy
0071028960;Noisy
0711366839;Var
0071262585;Var
0071391602;Noisy
0071581249;Noisy
0071678774;Var
0720287836;Noisy
0072305760;Noisy
0072464819;Noisy
0072588189;Noisy
0072923291;Var
0073158575;Noisy
0073494569;Var
0074166944;Noisy
0075242483;Var
0007679229;Var
0007685737;Noisy
0077022104;Var
0077041173;Noisy
0077228304;Var
0077551910;Noisy
0077568002;Noisy
0077612635;Var
0007773413;Var
0007802067;Noisy
0078232571;Noisy
0078238256;Var
0078384108;Noisy
0007975441;Var
0079942469;Noisy
0008000072;Noisy
0080060642;Noisy
0080358625;Var
0080471435;Noisy
0080630473;Var
0080859893;Var
0008118014;Var
0081246083;Noisy
0008174578;Noisy
0081872023;Noisy
0082072306;Noisy
0082221828;Noisy
0082247971;Noisy
0008266786;Var
0008292925;Noisy
0083138981;Noisy
0083836523;Noisy
0008501044;Noisy
0008527476;Noisy
0085463294;Noisy
0085801907;Noisy
0085884045;Noisy
0085996563;Var
0086103341;Noisy
0086197107;Noisy
0086271066;Var
0086888067;Noisy
0087418452;Var
0087732624;Noisy
0087942223;Noisy
0087952861;Noisy
0088097334;Noisy
0088098880;Var
0088115150;Noisy
0008817599;Noisy
0088217483;Noisy
0088363008;Var
0088471905;Noisy
0088479531;Var
0088650525;Var
0088722227;Noisy
0088928091;Noisy
0089545504;Noisy
0008993915;Noisy
0089966061;Var
0009003271;Noisy
0907623599;Noisy
0000090951;Var
0009143297;Noisy
0009171906;Noisy
0009178835;Noisy
0091968683;Var
0092138035;Noisy
0092224906;Noisy
0092225387;Noisy
0000926898;Noisy
0092733838;Noisy
0092982944;Noisy
0093156521;Var
0009376710;Var
0009391738;Noisy
0093927410;Var
0094003407;Var
0009429367;Noisy
0094991161;Noisy
0953161693;Noisy
0095361427;Noisy
0095753361;Noisy
0095837194;Noisy
0095868006;Noisy
0095957990;Noisy
0096176755;Var
0096334057;Var
0096384868;Noisy
0096879837;Noisy
0096887009;Noisy
0096891272;Var
0097102874;Noisy
0097304564;Noisy
0097432924;Noisy
0097521831;Noisy
0097651316;Noisy
0097707644;Noisy
0009778824;Noisy
0098107717;Noisy
0009859435;Var
0009859436;Noisy
0098664371;Noisy
0009867665;Var
0098718394;Noisy
0098874143;Noisy
0098939002;Noisy
0099298562;Noisy
0099330881;Noisy
0099381596;Var
